model,test_accuracy,test_loss,training_time_seconds,epochs_trained,best_validation_accuracy
Custom CNN,0.19130434095859528,1.613072156906128,26.515515327453613,6,0.20000000298023224
ResNet-50,0.9217391014099121,0.22915469110012054,118.13023567199707,18,0.9454545378684998
